,sent_file,token,lemma,from,to,semtag,output
4344,pmb-4.0.0/data/en/gold/p29/d1975/en.drs.xml,"['She', 'is', 'by~no~means', 'honest', '.']","['female', 'be', 'by~no~means', 'honest', '.']","[0, 4, 7, 19, 25]","[3, 6, 18, 25, 26]","['PRO', 'NOW', 'NOT', 'IST', 'NIL']","['PRO: ', 'She', '; ', 'NOW: ', 'is', '; ', 'NOT: ', 'by~no~means', '; ', 'IST: ', 'honest', '; ', 'NIL: ', '.']"
5904,pmb-4.0.0/data/en/gold/p45/d1973/en.drs.xml,"['""', 'Whose', 'pencils', 'are', 'these', '?', '""', '""', 'They', 'are', 'ø', 'Walt~Disney', ""'s"", '.', '""']","['""', 'person', 'pencil', 'be', 'entity', '?', '""', '""', 'entity', 'be', 'ø', 'walt~disney', 'pencil', '.', '""']","[0, 1, 7, 15, 19, 24, 25, 27, 28, 33, 37, 37, 48, 50, 51]","[1, 6, 14, 18, 24, 25, 26, 28, 32, 36, -1, 48, 50, 51, 52]","['NIL', 'HAS', 'CON', 'ENS', 'PRX', 'QUE', 'NIL', 'NIL', 'PRO', 'ENS', 'DEF', 'PER', 'HAS', 'NIL', 'NIL']","['NIL: ', '""', 'HAS: ', 'Whose', '; ', 'CON: ', 'pencils', '; ', 'ENS: ', 'are', '; ', 'PRX: ', 'these', '; ', 'QUE: ', '?', '; ', 'NIL: ', '""', 'NIL: ', '""', 'PRO: ', 'They', '; ', 'ENS: ', 'are', '; ', 'DEF: ', 'ø', '; ', 'PER: ', 'Walt~Disney', '; ', 'HAS: ', ""'s"", '; ', 'NIL: ', '.', '; ', 'NIL: ', '""']"
1179,pmb-4.0.0/data/en/gold/p04/d3028/en.drs.xml,"['ø', 'Tom', 'wrote', 'us', 'ø', 'postcards', '.']","['ø', 'tom', 'write', 'speaker', 'ø', 'postcard', '.']","[0, 0, 4, 10, 13, 13, 22]","[-1, 3, 9, 12, -1, 22, 23]","['DEF', 'PER', 'EPS', 'PRO', 'DIS', 'CON', 'NIL']","['DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'EPS: ', 'wrote', '; ', 'PRO: ', 'us', '; ', 'DEF: ', 'ø', '; ', 'CON: ', 'postcards', '; ', 'NIL: ', '.']"
6171,pmb-4.0.0/data/en/gold/p48/d2792/en.drs.xml,"['She', 'majored', 'in', 'ø', 'economics', '.']","['female', 'major', 'in', 'ø', 'economics', '.']","[0, 4, 12, 15, 15, 24]","[3, 11, 14, -1, 24, 25]","['PRO', 'EPS', 'REL', 'DIS', 'CON', 'NIL']","['PRO: ', 'She', '; ', 'EPS: ', 'majored', '; ', 'REL: ', 'in', '; ', 'DIS: ', 'ø', '; ', 'CON: ', 'economics', '; ', 'NIL: ', '.']"
4927,pmb-4.0.0/data/en/gold/p35/d0927/en.drs.xml,"['ø', 'Mary', 'thinks', 'ø', 'martial~arts', 'are', 'silly', '.']","['ø', 'mary', 'think', 'ø', 'martial~art', 'be', 'silly', '.']","[0, 0, 5, 12, 12, 25, 29, 34]","[-1, 4, 11, -1, 24, 28, 34, 35]","['DEF', 'PER', 'ENS', 'DIS', 'CON', 'NOW', 'IST', 'NIL']","['DEF: ', 'ø', '; ', 'PER: ', 'Mary', '; ', 'ENS: ', 'thinks', '; ', 'DEF: ', 'ø', '; ', 'CON: ', 'martial~arts', '; ', 'NOW: ', 'are', '; ', 'IST: ', 'silly', '; ', 'NIL: ', '.']"
8277,pmb-4.0.0/data/en/gold/p72/d3063/en.drs.xml,"['I', 'bought', 'the', 'black', 'bike', 'instead', 'of', 'the', 'red', 'one', '.']","['speaker', 'buy', 'the', 'black', 'bike', 'instead', 'of', 'the', 'red', 'bike', '.']","[0, 2, 9, 13, 19, 24, 32, 35, 39, 43, 46]","[1, 8, 12, 18, 23, 31, 34, 38, 42, 46, 47]","['PRO', 'EPS', 'DEF', 'COL', 'CON', 'NOT', 'REL', 'DEF', 'COL', 'CON', 'NIL']","['PRO: ', 'I', '; ', 'EPS: ', 'bought', '; ', 'DEF: ', 'the', '; ', 'COL: ', 'black', '; ', 'CON: ', 'bike', '; ', 'NOT: ', 'instead', '; ', 'REL: ', 'of', '; ', 'DEF: ', 'the', '; ', 'COL: ', 'red', '; ', 'CON: ', 'one', '; ', 'NIL: ', '.']"
7837,pmb-4.0.0/data/en/gold/p67/d2972/en.drs.xml,"['You', ""'re"", 'cuter', 'than', 'your', 'sister', '.']","['hearer', 'be', 'cute', 'than', 'hearer', 'sister', '.']","[0, 3, 7, 13, 18, 23, 29]","[3, 6, 12, 17, 22, 29, 30]","['PRO', 'NOW', 'MOR', 'REL', 'HAS', 'ROL', 'NIL']","['PRO: ', 'You', '; ', 'NOW: ', ""'re"", '; ', 'MOR: ', 'cuter', '; ', 'REL: ', 'than', '; ', 'HAS: ', 'your', '; ', 'ROL: ', 'sister', '; ', 'NIL: ', '.']"
7128,pmb-4.0.0/data/en/gold/p59/d2699/en.drs.xml,"['Is', 'it', 'true', 'that', 'you', 'beat', 'ø', 'Taninna', '?']","['be', 'entity', 'true', 'that', 'hearer', 'beat', 'ø', 'taninna', '?']","[0, 3, 6, 11, 16, 20, 25, 25, 32]","[2, 5, 10, 15, 19, 24, -1, 32, 33]","['NOW', 'NIL', 'IST', 'SUB', 'PRO', 'EPS', 'DEF', 'PER', 'QUE']","['NOW: ', 'Is', '; ', 'NIL: ', 'it', '; ', 'IST: ', 'true', '; ', 'SUB: ', 'that', '; ', 'PRO: ', 'you', '; ', 'EPS: ', 'beat', '; ', 'DEF: ', 'ø', '; ', 'PER: ', 'Taninna', '; ', 'QUE: ', '?']"
10238,pmb-4.0.0/data/en/gold/p95/d1396/en.drs.xml,"['How', 'did', 'ø', 'Bob~Marley', 'die', '?']","['manner', 'do', 'ø', 'bob~marley', 'die', '?']","[0, 4, 8, 8, 19, 22]","[3, 7, -1, 18, 22, 23]","['QUE', 'PST', 'DEF', 'PER', 'EXS', 'QUE']","['QUE: ', 'How', '; ', 'PST: ', 'did', '; ', 'DEF: ', 'ø', '; ', 'PER: ', 'Bob~Marley', '; ', 'EXS: ', 'die', '; ', 'QUE: ', '?']"
4220,pmb-4.0.0/data/en/gold/p27/d3438/en.drs.xml,"['How', 'many', 'neurons', 'are', 'there', 'in', 'this', 'human', 'brain', '?']","['how', '?', 'neuron', 'be', 'there', 'inside', 'this', 'human', 'brain', '?']","[0, 4, 9, 17, 21, 27, 30, 35, 41, 46]","[3, 8, 16, 20, 26, 29, 34, 40, 46, 47]","['QUE', 'QUV', 'CON', 'ENS', 'NIL', 'REL', 'PRX', 'CON', 'CON', 'QUE']","['QUE: ', 'How', '; ', 'QUV: ', 'many', '; ', 'CON: ', 'neurons', '; ', 'ENS: ', 'are', '; ', 'NIL: ', 'there', '; ', 'REL: ', 'in', '; ', 'PRX: ', 'this', '; ', 'CON: ', 'human', '; ', 'CON: ', 'brain', '; ', 'QUE: ', '?']"
6678,pmb-4.0.0/data/en/gold/p53/d2793/en.drs.xml,"['My', 'sister', 'adores', 'ø', 'music', '.']","['speaker', 'sister', 'adore', 'ø', 'music', '.']","[0, 3, 10, 17, 17, 22]","[2, 9, 16, -1, 22, 23]","['HAS', 'ROL', 'ENS', 'DIS', 'CON', 'NIL']","['HAS: ', 'My', '; ', 'ROL: ', 'sister', '; ', 'ENS: ', 'adores', '; ', 'DIS: ', 'ø', '; ', 'CON: ', 'music', '; ', 'NIL: ', '.']"
